id,name,description,category_id,price,tags,image_url,stock
1,Wireless Headphones,High-quality wireless headphones with noise cancellation,1,2999,audio wireless headphones bluetooth,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,50
2,Smartphone,Latest smartphone with advanced features,1,24999,mobile phone smartphone tech,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500,30
3,Laptop,High-performance laptop for work and gaming,1,54999,computer laptop tech productivity,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500,25
4,Smart Watch,Fitness tracking smartwatch with health monitoring,1,12999,wearable fitness smartwatch health,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,40
5,Bluetooth Speaker,Portable Bluetooth speaker with excellent sound quality,1,3999,audio speaker bluetooth portable,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500,60
6,Cotton T-Shirt,Comfortable cotton t-shirt in various colors,2,599,clothing t-shirt casual cotton,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=500,100
7,Jeans,Classic denim jeans with perfect fit,2,2499,clothing jeans denim casual,https://images.unsplash.com/photo-1542272604-787c3835535d?w=500,75
8,Running Shoes,Comfortable running shoes for athletes,2,3999,shoes running sports athletic,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,45
9,Winter Jacket,Warm winter jacket for cold weather,2,5999,clothing jacket winter warm,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=500,35
10,Sunglasses,Stylish sunglasses with UV protection,2,1999,accessories sunglasses style UV,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=500,80
11,Science Fiction Novel,Engaging science fiction novel with compelling story,3,499,book fiction sci-fi novel,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=500,200
12,Cookbook,Comprehensive cookbook with delicious recipes,3,899,book cooking recipes food,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?w=500,150
13,History Book,Fascinating history book covering important events,3,699,book history education non-fiction,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=500,120
14,Self-Help Guide,Motivational self-help guide for personal growth,3,599,book self-help motivation personal development,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=500,180
15,Coffee Maker,Automatic coffee maker for perfect brew,4,4999,home kitchen coffee appliance,https://images.unsplash.com/photo-1517668808823-f6c0b4e22b37?w=500,40
